Account,User Name,Followers at Posting,Created,Type,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Total Interactions,Overperforming Score
Tommy VEXT,tommyvext,185259,2020-07-20 16:47:08 PDT,Video,15053,1226,65482,https://www.instagram.com/p/CC4frHwjnss/,https://www.instagram.com/p/CC4frHwjnss/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/111081492_2600263703623282_5473149518184096314_n.jpg?_nc_cat=111&ccb=2&_nc_sid=8ae9d6&_nc_ohc=bX0TD6fhSMUAX9RFq7g&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=5c600de747c200d286a7a4e0300fa1fa&oe=60249649,,"Three years ago today we lost one of the greatest voices in modern rock @chesterbe 
Depression, addiction and suicidal ideation destroys more lives then you can imagine. But there is a deeper story. 
For the adult survivor of child abuse, these wounds will never heal. They show up in our waking moments, they tell us we are not enough, that we weren’t worth being protected that we will never be loved. They drive us to self destructive behavior, drugs, alcoholism, workaholism or into the arms of abuser after abuser damning us to repeat the same failed attempts at normalcy until we finally learn how to heal our desecrated innocence. These are the experiences of the children who are lucky enough to get out alive. Rock Music has told the tales of these horrific abuses for a long time. All to often the  artists is unaware of how many lives will be touched by the courage to speak his/her truth. Now we are seeing why. 
The statistics of trafficking are outrageously disproportionate to the conversation we are having in our media and with our politicians. We as a people need to stop focusing on the manufactured separatism through racism and political affiliations to realize that our children are gravely in danger. It’s uncomfortable to look at but it’s time.

#savethechildren #childprotection #childlivesmatter #crawling #thesewoundstheywillnotheal  #chesterbennington  #chriscornell #anthonybourdain #Badwolves #linkinpark",,,,"16,279",3.69
Tommy VEXT,tommyvext,190079,2020-07-29 18:47:48 PDT,Photo,15717,521,0,https://www.instagram.com/p/CDP5KtwDzKK/,https://www.instagram.com/p/CDP5KtwDzKK/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/116749765_167891038178489_9167942983094033388_n.jpg?_nc_cat=100&ccb=2&_nc_sid=8ae9d6&_nc_ohc=iIPaa6fnVZUAX94p30q&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=f8283a20322a600f1a474883d9365040&oe=60265D18,,"July 30th is World Day Against Trafficking. We will be meeting tomorrow at 4pm on wilshire & Vine with friends and family to bring awareness to criminal enterprise of child sex trafficking. 
My posts have been flagged for continuing to bring attention to social issues the mainstream sources are ignoring. 
Please tag 10 friends and repost #CHILDLIVESMATTER  to send a message that there are still good and decent human beings who refuse to ignore the 800,000 annual victims that go missing and are sold into sex trafficking in America alone. 

We can no longer act like this isn’t happening. Thank you for your time and support.

#endtrafficking #sextrafficking #sextraffickingawareness",CHILD LIVES MATTER,,,"16,238",1.56
Workout Fitness Miami🇫🇷🇺🇸,lindadurbesson_,1190828,2020-07-30 13:51:59 PDT,Album,9658,193,0,https://www.instagram.com/p/CDR8HBigpvP/,https://www.instagram.com/p/CDR8HBigpvP/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/116702412_3103421686440376_3213626148886898944_n.jpg?_nc_cat=102&ccb=2&_nc_sid=8ae9d6&_nc_ohc=4AdIUjhkGpkAX8bfgra&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=4b6f737eb6132dbd0f391a4a15dabedf&oe=60253A86,,"🙏TOGETHER WE MUST🙏 
・・・
July 30th is World Day Against Trafficking. We will be meeting Saturday August 1st at 4:30pm at Freedom Tower Miami - Come with friends and family to bring awareness on criminal enterprise of child sex trafficking or whoever involve in it. Since I started to post about current social issues and my personal opinion on politics which have no intent to convince you - as a personal trainer but as an “influencer” I must share what seem meaningful and necessary (you can disagree). From that reason, I have been flagged non-stop and censored numerous of times unfortunately.
.
While I’ll continue to use my voice to speak up we are alI responsible to protect them 💯 
I know there is still good people and for this I’ll ask (which I never do)  to tag a max of friends below and to repost #CHILDLIVESMATTER - This can be a message to support anyone who sadly lost a child, who had been through that personaly, and who refuse to ignore the victims that go missing and are sold into sex trafficking in America or over the world. I will never understand those who pretend this isn’t happening or just not care. Be a voice!

Thank you always for reading and daily support ❤️❤️❤️ SWIPE FOR THE DETAILS #MIAMI",,,,"9,851",-2.3
Gigi Maguire,gigimaguire,98622,2020-08-08 18:51:51 PDT,Photo,4331,97,0,https://www.instagram.com/p/CDpplIrh4FU/,https://www.instagram.com/p/CDpplIrh4FU/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/117233953_917877512037452_2436789346187451975_n.jpg?_nc_cat=100&ccb=2&_nc_sid=8ae9d6&_nc_ohc=sCPpWGybQAsAX_2Y20S&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=3b6d1ac0326ff1ecdf1d265ac52c6923&oe=6025CEA7,,Today was very productive!! Bringing awareness to this #childtrafficking #pandemic is a MUST!! My girl @victoriakarena orchestrated today’s protest in #Atlanta and we’re doing it again 8/22!!! STOP what you’re doing right now and GO RESEARCH #adrenochrome #pizzagate #pedogate #savethechidren #childlivesmatter #whereareallthechildren,WHY IS THE MAINSTREAM MEDIA SILENT ABOUT CHILD IW TRAFFICKING W ITS THE Child Lives For ME!!!,,,"4,428",3.78
Anchor The Light of Creation,megankoufos,9653,2020-08-29 06:02:16 PDT,Album,2153,93,10632,https://www.instagram.com/p/CEeWM-Tnz6M/,https://www.instagram.com/p/CEeWM-Tnz6M/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/118588738_807712253301863_3680310644830755240_n.jpg?_nc_cat=111&ccb=2&_nc_sid=8ae9d6&_nc_ohc=uIR7l48WwoUAX_Gbc9E&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=ebbb0c61a0b00a111aa36c1078825a24&oe=6024B509,,"Praying for these children tonight.
.
This has been allowed to go on in our society to too long. And we will see more and more of this coming to light.
.
Parents teach your children how to be safe on social media. Know who they are talking to and connecting with. Teach them about what pictures/language is appropriate to send online. Teach them about tricky people.
.
I wish we didn’t fucken have to. But we as parents have to be so vigilant and aware. 
.
And let’s also take some time to educate the media.
.
It’s not underage - it’s CHILDREN
It’s not a sex ring - it’s PEDOPHILE SEXUAL ABUSE. 
.
Call it what it is @9newsmelbourne, so people can actually begin the understand!!!!!!!
.
.
.
.
.
.
.
.
forthekids #wakeuppeople #truthseeker #future #conscious #collective #secretsocieties #openyoureyes #mindcontrol #consciousawareness #freedomthinker #awareness #peoplepower #voice4ourkids #savethechildren #draintheswamp #thegreatawakening #saveourkids #kidslivesmatter #conspiracyrealist #notonmywatch #riseup #strongertogether #wewillnotbesilenced #truth #childlivesmatter #childrenslivesmatter #stopchildtrafficking",,,,"2,246",8.2
Mariah Godinez,veganbbyy,N/A,2020-07-31 20:17:18 PDT,Album,1992,152,0,https://www.instagram.com/p/CDVM_-4sFPf/,https://www.instagram.com/p/CDVM_-4sFPf/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/116291889_217239022932016_1213472658458966335_n.jpg?_nc_cat=109&ccb=2&_nc_sid=8ae9d6&_nc_ohc=nbSXVeKJWWkAX9-S1we&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=e903042328e64b803b58248d04c9f101&oe=60267AE4,,"So thankful to have been apart of this amazing protest in Hollywood for our children!
🙏🏼🙌🏼🖤 The mainstream media won’t cover this tho #savethechildren #childlivesmatter",,,,"2,144",12.54
Time2awake,time2awake,54193,2020-08-04 16:16:59 PDT,IGTV,1933,80,19878,https://www.instagram.com/tv/CDfEWhPHPzq/,https://www.instagram.com/tv/CDfEWhPHPzq/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/116778436_121775552952420_6760357396484229159_n.jpg?_nc_cat=106&ccb=2&_nc_sid=8ae9d6&_nc_ohc=62SwlTn1094AX--nBd_&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=006cfc88d3a30b2e364daee8c644124c&oe=60268300,Main Stream media actually reporting on this?,"Bill Gates said everyone needs to be vaccinated to go back to normal on National tv! Why are we even listening to someone who went to his Epstein Island? 

😎Time2awake 
#Time2awake 

 @qforce__
・・・
.
⚠️WOW⚠️
MSNBC actually tying Bill Gates to Jeffery Epstein on National TV. 
Although every media company should be covering this based on what’s going on with ol’ Billy but that’s typically not the case. #BQQM
.
.

SAVE THE CHILDREN
.
We need more voices.
.
Follow: @Qforce__
Support the Q-Munity & help SAVE THE CHILDREN.
.
WWG1WGA 🇺🇸

#Q #Qanon #DarkToLight  #SheepNoMore #TheGreatAwakening #DigitalArmy #WWG1WGA #memeWAR #Trump #MAGA #KAGA #MakeAmericaGreatAgain #DrainTheSwamp #deplorable #weareQ #pizzagate #pedowood #ChildTrafficking #ChildAbuse #SexTrafficking #DisneyIsEvil 
#endracism 
#moreconpassion 
#equalrights 
#blacklivesmatter 
#childlivesmatter",Epstein Connection tion to Microsoft's Bill Gates,,,"2,013",1.45
Anchor The Light of Creation,megankoufos,8362,2020-08-09 23:27:14 PDT,Photo,1915,65,0,https://www.instagram.com/p/CDst5Dqn9C-/,https://www.instagram.com/p/CDst5Dqn9C-/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/117163144_114208267056710_3067369469208063138_n.jpg?_nc_cat=104&ccb=2&_nc_sid=8ae9d6&_nc_ohc=pXXfTJNmuesAX_ewpW9&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=5c778d0f38fc348f15eaed3eaeb9da6c&oe=6025B992,,"There is a MASSIVE ATROCITY HAPPENING WITH THE KIDS OF OUR WORLD.
.
I receive so many messages from people sharing with me pedophile accounts that are reported yet don’t go against community guidelines -WTAF!!!!
.
In the absence of a government that will not stop this - what will it take?
.
I don’t have the answers. 
.
All I know is that bringing awareness to this so what I’m being guided to do. 
.
Bringing awareness and financially supporting organisations like @projectrescuechildren and @ourrescue who are at the front line.
.
Writing to members of our parliament demanding tougher penalties for pedophiles.
.
And keep speaking and sharing.
.
OVER 900,000 kids missing each year and one stolen every 30 seconds for sex trafficking, slavery or organ harvesting - IS NOT A CONSPIRACY THEORY!!!!!
.
WHERE ARE ALL THE KIDS?
.
AND WHY DO THE GOVERNMENTS OF THIS WORLD ALLOW THIS TO CONTINUE HAPPENING?
.
THE SILENCE FROM PEOPLE IS DEAFENING.
.
And the silence from the governments makes them complicit.
.
The silence from MSM makes them complicit.
.
The censoring of social accounts and people trying to bring this to the light makes social media operators complicit.
.
You are either a stand against these atrocities happening to the children of this world.
.
Or you are not.
.
There is no inbetween.
.
Artist unknown (please tag them if you know who creating this powerful image).
.
.
.
.
.
.
.
.
.
.
.
#nwo #elite #wakeuppeople #truthseeker #future #conscious #collective #secretsocieties #openyoureyes #mindcontrol #consciousawareness #freedomthinker #awareness #peoplepower #voice4ourkids #savethechildren #draintheswamp #thegreatawakening #saveourkids #kidslivesmatter #conspiracyrealist #notonmywatch #riseup #strongertogether #wewillnotbesilenced #truth #childlivesmatter #childrenslivesmatter #stopchildtrafficking",mainstream media wear a mask largest pedophilia ring ever known being unraveled,,,"1,980",19.6
Anchor The Light of Creation,megankoufos,4597,2020-07-19 03:23:04 PDT,Photo,1748,44,0,https://www.instagram.com/p/CC0fZA6JSsJ/,https://www.instagram.com/p/CC0fZA6JSsJ/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/109253888_3033918273342873_7771618360499189840_n.jpg?_nc_cat=104&ccb=2&_nc_sid=8ae9d6&_nc_ohc=SL-911bSdn8AX9cEac3&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=c7163ac5619780b3e31372f56d191364&oe=60257F2C,,"@theangelastanton dropping the truth bombs. Thank you for speaking up ❤️❤️
.
The biggest distraction from the deepest darkest shadow of our humanity.
.
And despite all of the noise that we are making - the celebrities, the politicians, the MSM are all quiet as quiet - nothing but crickets there......because we all know why that is.
.
The deafening silence from the media of the world says more than we could ever realise.
.
.
.
.
.
.
.
.
.
.
.
.
.
#nwo #elite #explorepage #wakeuppeople #truthseeker #future #conscious #collective #secretsocieties #openyoureyes #mindcontrol #consciousawareness #freedomthinker #awareness #peoplepower #voice4ourkids #savethechildren #draintheswamp #thegreatawakening #saveourkids #kidslivesmatter #conspiracyrealist #notonmywatch #riseup #strongertogether #wewillnotbesilenced #truth #childlivesmatter #childrenslivesmatter #stopchildtrafficking","Angela Stanton King @theangiestanton US House candidate, GA-5 TRUTH BOMB This isn't about COVID 19 or BLACK LIVES MATTER. This is a major cover up for PEDOPHILIA and HUMAN TRAFFICKING. 4:27 AM 7/16/20 Twitter for iPhone",,,"1,792",17.74
Vik Grujic,vik_grujic,N/A,2020-07-19 03:25:15 PDT,Photo,1551,221,0,https://www.instagram.com/p/CC0fpFiJC6Z/,https://www.instagram.com/p/CC0fpFiJC6Z/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/115928378_1192908747737278_3575016781247143597_n.jpg?_nc_cat=101&ccb=2&_nc_sid=8ae9d6&_nc_ohc=SwOZXG4IEFYAX8-brAI&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=b0aff0ae44c10f7118d7405aa5bc7c56&oe=602539CF,,"Reposted from @megankoufos Before you go labeling those who choose to critically think and speak up on the autrocities of this world as crazy conspiracy theorists - remember this.
.
Remember that they are the ones speaking up, standing for our children.
.
They are the ones who can see just how media manipulates is. How movies program and desentise us into accepting things that we never would if we could see the future.
.
They are the ones standing and speaking, while everyone else just follows along and does as they are told. 
.
I could never understand how Hitler got 6 million people to follow along and do nothing - now I do.
.
We are in the midst of the biggest social experiment in our humanity. 
.
The masks are not about health. Just like over vaccination is not about health.
.
It is about seeing who will conform. Who will play by the rules of the self appointed puppet masters of this world.
.
I don’t understand how we as a society can sit back and know that politicians lie, that the planet is run by the elite who have set up society systems to keep us in fear and control. That mainstream media lie to suit the agenda they are pushing, and that the vaccine agenda is being set by a computer business man with NO MEDICAL DEGREE, who has openly said that vaccination is the only way to depopulate the world.
.
That we know human trafficking is one of the biggest businesses on the planet. That over 800,000 kids go missing each year, and 2 million are trafficked each year. That over 9 million people senselessly die from hunger each year.
.
And despite ALL OF THIS.
.
When the news says wear a mask - so many people do. DESPITE KNOWING OUR WHOLE WORLD IS BUILT ON LIES, DECEIT, AND GREED.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#nwo #elite #explorepage #wakeuppeople #truthseeker #future #conscious #collective #secretsocieties #openyoureyes #mindcontrol #consciousawareness #freedomthinker #awareness #peoplepower #voice4ourkids #savethechildren #draintheswamp #thegreatawakening #saveourkids #kidslivesmatter #conspiracyrealist #notonmywatch #riseup #strongertogether #wewillnotbesilenced #truth #childlivesmatter #childrenslivesmatter #stopchildtrafficking","YOU SEE NON MASK AS DISEASE SPREADING DEFIANT, IMBECILES... WHEN IN REALITY THEY ARE FIGHTING FOR THE LAST REMNANTS OF YOUR FREEDOM YOU DIDN'T KNOW YOU WERE ABOUT ΤΟ LOSE.",,,"1,772",15.82
