Account,User Name,Followers at Posting,Created,Type,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Total Interactions,Overperforming Score
celeste coslett clark,celestecclark,91846,2020-07-27 07:55:53 PDT,Album,49204,132,0,https://www.instagram.com/p/CDJk-J1gxdC/,https://www.instagram.com/p/CDJk-J1gxdC/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/115815411_282904662965234_495845195982271952_n.jpg?_nc_cat=108&ccb=2&_nc_sid=8ae9d6&_nc_ohc=5mIdObD5H5UAX9A7cUo&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=99ad5b706cb4312cab07d3f78811385c&oe=6024F754,,"i’ll make a thousand more graphics if it means even one person will stand up.
full steam ahead. 
@ourrescue is hosting peaceful (and safe) demonstrations throughout all of America this thursday in hopes to #savethechildren and bring awareness on human trafficking - locations are all on @ourrescue page. 
wear blue! bring awareness through your inner circles, social media, however. use your voice for the voiceless 🤍
#riseup #endchildtrafficking",,,,"49,336",14.19
Karmagawa,karmagawa,1126297,2020-07-30 16:57:26 PDT,Album,35316,768,542097,https://www.instagram.com/p/CDSRVTWA0XV/,https://www.instagram.com/p/CDSRVTWA0XV/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/116250353_759594651463772_1902097183020908884_n.jpg?_nc_cat=101&ccb=2&_nc_sid=8ae9d6&_nc_ohc=jZSxrlAHjc4AX_Alcs5&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=05612fdfb934832be01faee060ccabeb&oe=6026EE9C,,"⚠️WARNING: DISTURBING CONTENT⚠️ 2020 has been a horrific year for human trafficking and especially child trafficking. Since COVID-19 hit, The National Center for Missing & Exploited Children (NCMEC) has experienced a 90.46% increase in CyberTipline reports between January - June 2020 vs the same time period in 2019, and the numbers are rising. Today is ‪#WorldDayAgainstTrafficking‬ so we are posting this tragic video from @timballard89 of undercover footage of the human trafficking of minors which is sadly happening all over the world. The good news is his charity @ourrescue just announced the rescue of their 4,000th survivor so there is hope and we must help further this charity’s mission by sharing this post and spreading awareness about this important issue! While this video is VERY disturbing to watch, it demonstrates why there’s such urgency in the fight to end human trafficking, as no child deserves this so we must all work together to free child slaves RIGHT NOW! This footage is real and this was a successful operation with all of the minors being rescued so please share this video with your followers and tag people, celebrities, influencers and news media who need to see this because NOW is the time to RISE UP and free these children! #OURrescue #RISEUP #EndHumanTrafficking #endchildtrafficking #RiseUpForChildren #karmagawa",,,,"36,084",-1.58
Camelia Katoozian,cameliakatoozian,673397,2020-07-30 12:03:26 PDT,IGTV,12371,205,111311,https://www.instagram.com/tv/CDRvY7sls6D/,https://www.instagram.com/tv/CDRvY7sls6D/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/116225470_117003886557723_7150887407950669271_n.jpg?_nc_cat=110&ccb=2&_nc_sid=8ae9d6&_nc_ohc=BCuLu9J9qPgAX_NQpwy&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=3f44bdebad66a3ef292275955e7b7d60&oe=6025CBD2,⚠️TRIGGER WARNING⚠️ #SaveTheChildren,"•
Today is “World Day Against Trafficking in Persons”, and I recently found out how much of an on-going issue #humantrafficking really is!! It’s known as “modern day slavery”. It was hard reading the statistics, but child sex trafficking is happening right now and the media WILL NOT cover this! It is up to us and we need to protect the children. Use your voice for the voiceless. #SpeakUpGetLoud
•
❗️WAYS TO HELP❗️
1️⃣ RESEARCH: Look into articles, organizations, podcasts, & documentaries and get educated and get trained to recognize signs of trafficking (free course on @ourrescue website)
2️⃣ TAKE ACTION: Spread awareness and talk to your family and friends, post on social media!
3️⃣ TEXT “HELPTHEM” to 51-555 to learn more and stay updated.
4️⃣ CALL the National Human Trafficking Hotline 👉 1(888)-373-7888 if you or someone you know is a victim. All because you see a child with an adult does not mean that is their parent! KNOW the signs and CALL when you suspect a victim.
5️⃣ CLICK link in bio & donate. Every dollar counts to help save more victoms 👉 https://ourrescue.org
-
STAY INFORMED WITH:
@ourrescue
@timballard89
@a21
@enditmovement
@exoduscry
@thorn
-
Psalm 82:4 ESV ✝️
“Rescue the weak and the needy; deliver them from the hand of the wicked.”
•
STAY SAFE everyone, I love you all so much and thank you for taking the time to watch this ❤️ #riseup #endchildtrafficking #endhumantrafficking #sextrafficking #humantraffickingawareness #savethekids #wherearethechildren",# SAVE THE CHILDREN,,,"12,576",-2.25
Feminist?YES! she/her,feminist.yes,63496,2020-06-06 16:17:17 PDT,Photo,11613,85,0,https://www.instagram.com/p/CBHJz6LBbnj/,https://www.instagram.com/p/CBHJz6LBbnj/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/101809423_174424880705247_4575014860965502082_n.jpg?_nc_cat=108&ccb=2&_nc_sid=8ae9d6&_nc_ohc=PFC5Q6zKveEAX_cNYr0&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=603ee2f22490884a2330b30555f1c0ff&oe=60256A8F,,"The media sucks. .
.
.
#feminism #feminist #humanrights #humanrightsviolations #media #maddiemccann #madeleinemccann #childprotectiveservices #childprotection #childrensrights #endchildabuse #endchildtrafficking #justice #corruptnews","ussy @ussyyk Meanwhile the top story on UK media is about a white rich girl who went missing 13 years ago... Hunt for missing boy, 12, who vanished 24 hours after his family last saw him at home in London By Emer Scully For Mailonline Updated at 8:24 am on 5 June 2020",,,"11,698",3.46
Danica McKellar,danicamckellar,483429,2020-08-14 11:30:25 PDT,Photo,9760,590,0,https://www.instagram.com/p/CD4T1Q1nSkQ/,https://www.instagram.com/p/CD4T1Q1nSkQ/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/117607705_589614481722846_60435838578283580_n.jpg?_nc_cat=104&ccb=2&_nc_sid=8ae9d6&_nc_ohc=r0mZCY5gxFQAX_rU7YP&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=e03e28ba47bcaae07293e6b4ab7b6933&oe=60248C0A,,"Which of this week's work-from-home looks gets your vote? A or B? 
.
.
A: Pale blue cut-out dress with lipstick print pj bottoms
B: Maroon teardrop dress with hedgehog pj bottoms (yes, hedgehogs! 🤣)
.
.
Either way, I am loving the ""glam on top, comfy on the bottom"" tradition this lockdown has started for me. Gotta look on the bright side where we can!
.
.
In other news, THANK YOU to everyone who answered my call in my instastories yesterday to get educated about child trafficking and learn to see the signs. For those who would still like to take the @ourrescue training course, it's at ourrescue.org/training (and link in bio under ""charity stuff"") and then DM me a copy of your certificate so I can congratulate you myself! One at a time, we can build a world of watchdogs to help these kids... 👊👊👊
.
.
#ootd #endchildtrafficking #hedgehogs (I couldn't resist that hashtag! 😋)",,,,"10,350",-1.39
HONORING THE FALLEN,salutetheblue,74003,2020-10-31 08:54:17 PDT,Photo,5584,135,0,https://www.instagram.com/p/CHA395bHOQw/,https://www.instagram.com/p/CHA395bHOQw/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/123171131_139887147875154_4831787149775261048_n.jpg?_nc_cat=103&ccb=2&_nc_sid=8ae9d6&_nc_ohc=AZTARIchN5YAX_M1KTd&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=d8584fd8b18de872f21b854f941be525&oe=6026F391,,"NEVER ENDING 5-STEP CYCLE OF CHILD SEX ABUSE.
.
FACT: as soon as one child is discarded, the pedophile is compelled to repeat the cycle, again and again.
.
FACT: a pedophile molests an average of 260 children over his/ her lifetime with ongoing abuse escalating over time and lasting approx 4 years.
.
FACT: pedophiles groom a child until they can trap them into sex and silence. A victim’s silence is a pedophiles greatest power. When a victim is finally ready to break their silence the statute of limitation (SOL) has expired.
.
FACT: short SOLs serve the best interests of pedophiles by providing the perfect legal defense, because once the statue has expired, they cannot be criminally prosecuted.
.
There always have been and always will be pedophiles among us. We must BREAK THEIR CYCLE. To help, we have to eliminate criminal and civil statue of limitations for sex crimes against minors. This will allow victims, when they’re ready, to come forward in their pursuit of justice and healing. Don’t get discouraged, get motivated! Together we will amplify the light on this darkness 🙏
.
#GodBless #SaveTheChildren #WeStandWithYou #EndChildTrafficking 
#ChildExploitationAwareness #USMS #ThinBlueLine #BackTheBlue #SaluteTheBlue 🇺🇸⚫️🔵⚫️🇺🇸 
.
Sources: 
American Psychological Association. Understanding child sexual abuse: Education, prevention, and recovery. Washington, DC: Author. (2010)
Becker, Judith. “Offenders: Characteristics and Treatment.” The Future of Children. (1994)
Centers for Disease Control and Prevention. Adverse childhood experiences study: Data and statistics. Atlanta, GA: Centers for Disease Control and Prevention, National Center for Injury Prevention and Control. (2005) 
Snyder, Howard, N. Sexual assault of young children as reported to law enforcement: victim, incident, and offender characteristics. (2000)",,,,"5,719",2.92
Pardon My American | PODCAST,pardon_my_american,75008,2020-07-24 17:10:06 PDT,IGTV,4173,365,102573,https://www.instagram.com/tv/CDC1od0AkW_/,https://www.instagram.com/tv/CDC1od0AkW_/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/110080154_3464845226873517_5204467447012709494_n.jpg?_nc_cat=103&ccb=2&_nc_sid=8ae9d6&_nc_ohc=-7Bf3bQ8F0kAX90Ws-s&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=e2d5458b3346ef162e9d7277a69c644c&oe=60253302,I Wish Her Well,"‼️FOLLOW. LIKE. SHARE‼️
.
🍿WATCH FULL EP 124 ON YOUTUBE 🍿🍿LINK IN BIO🍿
.
Trump was recently asked by a reporter what he thought about the charges against Ghislaine Maxwell and Trump’s response was to “wish her well.” The MSM immediately began to spin the narrative that Trump’s consolatory response for Maxwell was due to his entrenched involvement within the Epstein child sex ring.  This has sparked many conspiracies that Maxwell possesses a video tape of Trump with incriminating evidence of molestation and Trump is trying to cover it up.
.
But if incriminating footage of Trump exists, why didn’t they release it during the 2016 presidential election?  The MSM has WAY more influence on the population back then, so they could have easily released this footage without sabotaging anyone else.  If the cabal didn’t want Trump to become president, why did they have to fabricate the Steele dossier to sell America the hoax of Trump/Russia collusion?  Why not just release the incriminating footage?! The answer is somple: this “footage” doesn’t exist!
.
.
#PardonMyAmerican 
#EpsteinIsland 
#EpsteinDidntKillHimself
#Pedovore
#SexTrafficking 
#PizzaGateIsReal
#CrimesAgainstChildren 
#HollyweirdIsEvil 
#Hollyweird 
#RachelChandler 
#EndChildTrafficking
#PedoWoodIsReal
#SatanicRitualAbuse
#InvestigatePizzagate
#IsaacKappy
#GhislaineMaxwell
#Adrenochrome
#GhislaineMaxwellDidn’tKillHerself
#ElitePedophiles
#SatanicTemple
#FollowTheWhiteRabbit
#SpiritCooking
#IWishHerWell
#FallCabal
#ChildrensLivesMatter
#SymbolismWillBeTheirDownfall
#QANON
#lolitaexpress 
#PedoWood","WISH HER 'I just wish her well': Trump comments on Ghislaine Maxwell, WELL FULL EPISODES YouTube",,,"4,538",1.63
Pardon My American | PODCAST,pardon_my_american,72736,2020-07-23 16:08:04 PDT,IGTV,4261,228,80236,https://www.instagram.com/tv/CDAJb_AAXRf/,https://www.instagram.com/tv/CDAJb_AAXRf/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/115823403_589126931748477_3867651703500727279_n.jpg?_nc_cat=103&ccb=2&_nc_sid=8ae9d6&_nc_ohc=eLNGmubBtZkAX9VXftD&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=4b32703be62091de6382152308ffd7a0&oe=602413EB,China’s Hidden Camps,"‼️FOLLOW. LIKE. SHARE‼️
.
🍿WATCH FULL EP 123 ON YOUTUBE 🍿🍿LINK IN BIO🍿
.
A video has been circulating that shows Uigher Muslims bound, blindfolded, and on their knees waiting to be boarded onto trains.  One can’t help but compare these actions to those of the Nazis towards Jews in WWII.  Consequently, Uighers are then transported and hoarded into “re-education camps” where they are forced to abandon their religious beliefs and acquiesce to the Communist government. 
.
But the horrors don’t stop there.  In the camps, Uighers are forced into labor and forced to shave their heads (which China then sells). Its even being reported that Uighers are being killed to harvest their organs on the black market.  Where are the riots for these injustices? 
.
.
.
#PardonMyAmerican 
#EpsteinIsland 
#EpsteinDidntKillHimself
#Pedovore
#SexTrafficking 
#PizzaGateIsReal
#CrimesAgainstChildren 
#crimesagainsthumanity 
#uigher 
#RachelChandler 
#EndChildTrafficking
#PedoWoodIsReal
#SatanicRitualAbuse
#InvestigatePizzagate
#china 
#GhislaineMaxwell
#Adrenochrome
#GhislaineMaxwellDidn’tKillHerself
#ElitePedophiles
#chinaconcentrationcamps 
#FollowTheWhiteRabbit
#SpiritCooking
#SaveTheChildren
#FallCabal
#ChildrensLivesMatter
#organharvesting 
#QANON
#concentrationcamps 
#SecretSocieties","China's HIDDEN China is harvesting thousands ofhuman human organs from its Uighur Muslim minority, UN human rights body hears Camps FULL EPISODES YouTube",,,"4,489",1.62
Joanne,wonder_doodles,N/A,2020-07-30 20:49:27 PDT,Photo,2246,16,0,https://www.instagram.com/p/CDSr4nPjCyK/,https://www.instagram.com/p/CDSr4nPjCyK/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/116796095_189593955916842_1544359822001464902_n.jpg?_nc_cat=100&ccb=2&_nc_sid=8ae9d6&_nc_ohc=K2E2W0xreDAAX9KX-xB&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=ceaf018036918ccecb4fd4ea2a676c48&oe=6030B671,,"Today is a double post kind of day because I couldn’t miss this. It’s #worlddayagainsttrafficking . Trafficking is rampant, not only in other countries but in our very own neighborhoods. Finally, trafficking is making more head way in the news but it has been around for far too long. We must stand for the voiceless. We must protect the children and those who started as children and are now adults. The captured and captive. The trapped and afraid. It’s time to set the captives free. #endchildtrafficking #riseup",,,,"2,262",39
Anchor The Light of Creation,megankoufos,4386,2020-07-17 21:20:29 PDT,Photo,2223,29,0,https://www.instagram.com/p/CCxRGjYp_qe/,https://www.instagram.com/p/CCxRGjYp_qe/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/109477586_3461318347253743_7053467691544178503_n.jpg?_nc_cat=111&ccb=2&_nc_sid=8ae9d6&_nc_ohc=00EUmv5a7WwAX9-rkSB&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=a4ff620bd019b4af826ddf359eabe31e&oe=6025AEE6,,"Are you beginning to see the agenda yet?
.
Start asking those questions that are weighing on your heart. The ones that are churning in your stomach.
.
The question that wakes you up in the middle of the night - where are all the children? And why isn’t the media talking about this?
.
Repost • @dc_draino Makes you wonder why they don’t!🤔🇺🇸
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#populationcontrol #staywoke #nwo #newworldorder #elite #explorepage #pinealgland #wakeuppeople #truthseeker #thirdeye #wakeupsheeple #anonymous  #conscious #collective #secretsocieties #openyoureyes #mindcontrol #consciousawareness #politics #selfaware #freedomthinker #illuminati #truthseeker #awareness #peoplepower #depopulation #conspiracy #wakeup #endchildtrafficking #savethechildren #childrenslivesmatter","Rogan O'Handley @DC_Draino If the media reported on sex trafficking cases the way they do for COVID, we could destroy these DC/Hollywood pedo networks in a week 12:44 PM 7/17/20 Twitter for iPhone",,,"2,252",22.3
