"","User.Name","n"
"1","piper.n27",186
"2","thesalvationfoundation",81
"3","brainwashed444",76
"4","megankoufos",69
"5","truth4u99",61
"6","conspiracywitch",42
"7","covid1984__",40
"8","save_humanity_please",28
"9","standupxworld",26
"10","thedailytraffick",23
"11","truth_and_light",23
"12","adam_whittington23",22
"13","anthonybratts",22
"14","mkemper13",18
"15","snowflake_triggering_is_fun",18
"16","wedonotconsentworldwide",17
"17","savethechildrenitalia",16
"18","mrdirtyfresh",15
"19","pardon_my_american",15
"20","sassypatrioticgrammieamj",14
"21","spread_the_cure",14
"22","salutetheblue",13
"23","citizencrone",11
"24","derekynasty",11
"25","humblebeastq",11
"26","siggy.flicker",11
"27","bishopinternational",10
"28","collectionoffirst",10
"29","districtsofcorruption",10
"30","khalifwarrior",10
"31","operation.wake.humanity",10
"32","sadie_lou_x",10
"33","theegoldstate",10
"34","time2awake",10
"35","619_stop_child_trafficking",9
"36","awakentotruth",9
"37","exposing_the_truth2day",9
"38","americafirstpatriot",8
"39","avveniredicalabria",8
"40","informedmothers",8
"41","patriots_united_for_our_nation",8
"42","zachorama",8
"43","adel.believe",7
"44","evox_jun",7
"45","iamauroraray",7
"46","influencers_act",7
"47","lexitmovement",7
"48","marine_patriot",7
"49","realcubanitalibre",7
"50","speak_project",7
"51","amandaonline",6
"52","arcturianalex",6
"53","averydopecook",6
"54","batinanescafe",6
"55","guardiangroupus",6
"56","health.and.honesty",6
"57","kami.kay_photography",6
"58","llenehcs_wakupppl",6
"59","repubic45_2.0",6
"60","spread_da_truth",6
"61","trumpfashion.style",6
"62","wanttoseethetruth",6
"63","ellisaallen",5
"64","joshforti",5
"65","rockinghevents",5
"66","roseorgrescues",5
"67","seekthetruth",5
"68","the_truth_hunters",5
"69","theoriesinc",5
"70","thetartarianmeltdown",5
"71","zen_ddha",5
"72","_jd_for_medical_freedom",4
"73","alextioke",4
"74","allysonroweschaffer",4
"75","anuxsunamoon2222",4
"76","ausrelief",4
"77","conspirabae",4
"78","distrolord",4
"79","dr_dave_of_mojo",4
"80","fishxnguyen713",4
"81","healthnutnews",4
"82","nadiasalvino",4
"83","pamelasztybel",4
"84","rosevelt_sings",4
"85","savechildrenaus",4
"86","saveourchildrennow2020",4
"87","therealbigromex4",4
"88","thetruthshowch",4
"89","_melanin_darkskinhershey",3
"90","2krazy4u2handle1truth",3
"91","andi.wisdom",3
"92","ariananews.official",3
"93","artforawakening",3
"94","awakenedsoulsees",3
"95","bryancasella",3
"96","cancel.child.trafficking",3
"97","cattuuu2",3
"98","corissafurr",3
"99","demexitforever",3
"100","doctazaius",3
"101","dondonnytrump",3
"102","fake_false_news",3
"103","farfromleft.latino",3
"104","fightthenewdrug",3
"105","guz_unplugged2020",3
"106","halohearthealing",3
"107","idahomeliving",3
"108","ironpatriotofamerica",3
"109","justiceforisaackappy",3
"110","kei_dis",3
"111","king_dnaknowledge",3
"112","knowledge_hoarder",3
"113","latinosforamerica",3
"114","local.conservative",3
"115","marieannaliese22",3
"116","martavioletarocha",3
"117","pdxantivaxxactivist",3
"118","president_elect_rosebelle",3
"119","prideofmaga",3
"120","real_sawman",3
"121","republic45_",3
"122","sergeant_stickittooya",3
"123","socalfreedomfighters2.0",3
"124","starspangledmind",3
"125","takingbackcali",3
"126","that_spiritual_guy",3
"127","the_real_celebrities_heroes",3
"128","theangelastanton",3
"129","theinformedmama209",3
"130","therealflorina",3
"131","tonymaga",3
"132","transcendingwithki",3
"133","trchnfe_v2",3
"134","truthandfreedomreport",3
"135","truthiscalling",3
"136","vik_grujic",3
"137","yourway2",3
"138","_credible_hulk",2
"139","_hellomynameisangela",2
"140","1stcenturypress",2
"141","aashhhhlee",2
"142","allbaymusic",2
"143","amandaradke",2
"144","amiestockstill",2
"145","angelabvilla",2
"146","antivax_mama",2
"147","ashleyjsharpton",2
"148","avaaston",2
"149","barbiejhean",2
"150","benij5",2
"151","blackriflesmatter.co",2
"152","bootlegmedia_",2
"153","briskeybaby",2
"154","brunswickrepublicans",2
"155","busy_bart",2
"156","cecilia_stoll",2
"157","chadrobo_official",2
"158","childrensriot",2
"159","christy4trump",2
"160","cjpforny",2
"161","clauestradablog",2
"162","comeoutbetter",2
"163","connieboucher",2
"164","conspiracycastle",2
"165","cultureconnextion",2
"166","deepstate_shills",2
"167","dermabeautyaesthetics",2
"168","deseretnews",2
"169","dreamcitychurch",2
"170","e.w.o_2021",2
"171","eviemagazine",2
"172","fall.ofcabal",2
"173","gritdaily",2
"174","heavenvanilla",2
"175","hillareezy",2
"176","hiphoprevolt",2
"177","holistichealthandmore",2
"178","hunterhanks",2
"179","ingamae",2
"180","inkarnation_der_liebe",2
"181","inspire_zu",2
"182","jessica_ashcroft",2
"183","jessica.jay.dee",2
"184","jesus.loves.coffee",2
"185","jimstagram52",2
"186","kathybarnetteforcongress",2
"187","keithkirkwood1",2
"188","kentenhunnell",2
"189","krismarieerrington",2
"190","kultureller.wandel",2
"191","lauren_mcmama",2
"192","letfreedomring2020",2
"193","mattmaddix",2
"194","minibutmighty_",2
"195","mirabelcentreng",2
"196","mizzerybell",2
"197","mrs.britnyrobinson",2
"198","nessavarez",2
"199","nicknittoli",2
"200","nightshadescellar",2
"201","nomames.bro",2
"202","organic_collective",2
"203","planetearthtruth",2
"204","prageru",2
"205","pureworldtruth",2
"206","pushliberty",2
"207","rarriandco",2
"208","red_pill_latina",2
"209","repurposedecor",2
"210","roar.media",2
"211","rockyroadproductionsllc",2
"212","ronaldwilsher",2
"213","rosie.luv",2
"214","rvnez_",2
"215","samanthamasonmarikaa",2
"216","saraalbie",2
"217","sheeps_rus",2
"218","simplysophiedesigns",2
"219","sofiadgora",2
"220","sumitacheetah",2
"221","susanmwade",2
"222","svisionfamily2",2
"223","tahoom_",2
"224","tangledwithtaste",2
"225","tays_way_",2
"226","the_truth_hunters_2",2
"227","theashmoresblog",2
"228","theclaudiacolombo",2
"229","thesparksdesigns",2
"230","thewholenesshome",2
"231","thisladylovestruth",2
"232","tired_of_the_tyranny",2
"233","tommyvext",2
"234","trueearther",2
"235","truth_vs_cult",2
"236","twinsportstv",2
"237","unsilencethesilenced",2
"238","voice4ourkids",2
"239","voluntaryisminaction",2
"240","we.the.people.radio",2
"241","wellwithin.wanderings",2
"242","wild.heart.gypsy.mama",2
